subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160622a_3T1,2,2,2,134.0209240913391,Perc-sent,88,A man is kicking a soccer ball.,0,3,"[[0.4666666666666666, 1.9196161359855544, 0.5613144310133932], [0.9333333333333332, -1.4459206247611829, 1.3817791237713175], [1.4, -0.47369551122437126, -1.9430935547847101]]",1,1,1.6834280490875244,1
FED_20160622a_3T1,2,2,2,136.02112197875977,Perc-sent,91,A woman is pouring some milk for the cat.,0,4,"[[0.35, 0.48283001118698976, 1.42016730714982], [0.7, -1.4713159712093764, -0.29194059817745366], [1.0499999999999998, 0.48283001118698976, 1.42016730714982], [1.4, 0.9884859600223876, -1.1282267089723672]]",0,0,1.533398151397705,1
FED_20160622a_3T1,2,2,2,138.0212881565094,Perc-sent,92,A woman is having some cognac at the bar.,1,3,"[[0.4666666666666666, 0.3647666934951917, 1.9664549980400226], [0.9333333333333332, 1.5206166369539416, -1.2991247220412998], [1.4, -1.8853833304491339, -0.6673302759987229]]",1,0,1.7834508419036865,0
FED_20160622a_3T1,2,2,2,140.02147603034973,Perc-sent,81,A man is turning the burger over using a spatula.,0,3,"[[0.4666666666666666, -0.89467449809706, 1.788730707081078], [0.9333333333333332, -1.1017489838129844, -1.669176197010686], [1.4, -0.89467449809706, 1.788730707081078]]",1,,,
FED_20160622a_3T1,2,2,2,142.0216269493103,Perc-sent,74,A woman is making a necklace using some beads.,0,4,"[[0.35, 1.1020645031488399, -1.0175725187421785], [0.7, 0.33021139984922243, 1.46320211570706], [1.0499999999999998, 1.1020645031488399, -1.0175725187421785], [1.4, -1.432275902998063, -0.44562959696488247]]",0,0,0.23336315155029297,1
FED_20160622a_3T1,2,2,2,146.02199816703796,Perc-photo,76,A woman is squeezing toothpaste onto a toothbrush.,1,4,"[[0.35, -0.036595785551745974, 1.4995535163774085], [0.7, -1.2803535467412477, -0.781469638147963], [1.0499999999999998, -0.036595785551745974, 1.4995535163774085], [1.4, -1.2803535467412477, -0.781469638147963]]",0,0,1.6501238346099854,1
FED_20160622a_3T1,2,2,2,148.02218198776245,Perc-photo,66,A man is drying himself off with a towel.,0,3,"[[0.4666666666666666, -1.4824887639134778, -1.3424705080076391], [0.9333333333333332, 1.9038579457227551, -0.6126376763702431], [1.4, -0.4213691818092762, 1.9551081843778828]]",1,1,1.7501440048217773,1
FED_20160622a_3T1,2,2,2,150.0223650932312,Perc-photo,64,A woman is putting a fork in a utensil rack.,0,4,"[[0.35, -1.0927271637321794, 1.0275929863724385], [0.7, 1.436285212815338, 0.43253299001116535], [1.0499999999999998, -0.3435580490831581, -1.4601259763836045], [1.4, -1.0927271637321794, 1.0275929863724385]]",0,0,1.6001169681549072,1
FED_20160622a_3T1,2,2,2,152.0225510597229,Perc-photo,83,A man is putting a piece of asparagus on a plate.,0,4,"[[0.35, 1.205442079950862, 0.8926978166679582], [0.7, -1.3758200271127867, 0.597594555694219], [1.0499999999999998, 0.17037794716192395, -1.4902923723621782], [1.4, -1.3758200271127867, 0.597594555694219]]",0,1,1.8001599311828613,0
FED_20160622a_3T1,2,2,2,154.02273607254028,Perc-photo,81,A woman is stapling some papers.,1,3,"[[0.4666666666666666, 0.8231360395190938, -1.8227580915867088], [0.9333333333333332, -1.9901228320272792, 0.19852232479930718], [1.4, 0.8231360395190938, -1.8227580915867088]]",1,1,1.8834900856018066,1
FED_20160622a_3T1,2,2,2,156.0229229927063,Perc-photo,80,A woman is pouring some dish soap onto a sponge.,0,3,"[[0.4666666666666666, -1.168293444329689, -1.6232961614986563], [0.9333333333333332, -0.8216689915587597, 1.8234198826136592], [1.4, -1.168293444329689, -1.6232961614986563]]",1,1,1.8333830833435059,1
FED_20160622a_3T1,2,2,2,158.02310609817505,Perc-photo,69,A woman is putting an apple in a fruit bowl.,0,4,"[[0.35, -0.39431875072660005, -1.447243145717199], [0.7, -1.056189954280699, 1.065111628176378], [1.0499999999999998, -0.39431875072660005, -1.447243145717199], [1.4, -1.056189954280699, 1.065111628176378]]",0,0,1.6668040752410889,1
FED_20160622a_3T1,2,2,2,178.02488112449646,Sem-sent,43,A man is putting a toupee on his head.,0,4,"[[0.35, -1.4380319243685595, 0.4266897989135169], [0.7, 0.34949175678950006, -1.4587170774129536], [1.0499999999999998, 1.08854016757906, 1.0320272784994358], [1.4, -1.4380319243685595, 0.4266897989135169]]",0,0,1.6668708324432373,1
FED_20160622a_3T1,2,2,2,180.02513813972473,Sem-sent,21,A man is feeding his fish.,0,3,"[[0.4666666666666666, -1.0295477134309108, -1.714652007192475], [0.9333333333333332, 1.9997060535941167, -0.034288470643112086], [1.4, -1.0295477134309108, -1.714652007192475]]",0,1,1.2001259326934814,0
FED_20160622a_3T1,2,2,2,182.02532410621643,Sem-sent,38,A woman is making tea in a teapot.,1,4,"[[0.35, -1.4092788722215968, -0.5137441584191731], [0.7, 0.2597239438739389, 1.477343383570173], [1.0499999999999998, 1.1495549283476592, -0.9635992251510005], [1.4, -1.4092788722215968, -0.5137441584191731]]",1,1,1.2834689617156982,1
FED_20160622a_3T1,2,2,2,184.02551317214966,Sem-sent,4,A man is hanging a shirt on a clothes line.,0,3,"[[0.4666666666666666, 0.49139707698189616, -1.9386925781912017], [0.9333333333333332, -1.924655561332878, 0.5437839370838607], [1.4, 1.433258484350981, 1.394908641107341]]",0,0,1.6335158348083496,1
FED_20160622a_3T1,2,2,2,186.02569317817688,Sem-sent,9,A man is watering his flowers with a hose.,1,3,"[[0.4666666666666666, -1.966721580172332, 0.36332661075738115], [0.9333333333333332, 1.2980108648729585, 1.5215675452216226], [1.4, -1.966721580172332, 0.36332661075738115]]",1,1,1.666860818862915,1
